AREA,COUNTRY,NUMBER_OF_THE_STRATUM,,DEPTH,CODESTRATA,AREASTRATA
18,ALB,22145,i,500-800,E,1910
18,MTN,22146,j,10_50,A,280
18,MTN,22147,j,50-100,B,1100
18,MTN,22148,j,100-200,C,1700
18,MTN,22149,j,200-500,D,1150
18,MTN,22150,j,500-800,E,770
19,ITA,22101,a,10_50,A,412
19,ITA,22102,a,50-100,B,377
19,ITA,22103,a,100-200,C,334
19,ITA,22104,a,200-500,D,650
19,ITA,22105,a,500-800,E,641
19,ITA,22106,b,10_50,A,326
19,ITA,22107,b,50-100,B,225
19,ITA,22108,b,100-200,C,257
19,ITA,22109,b,200-500,D,939
19,ITA,22110,b,500-800,E,1370
19,ITA,22111,c,10_50,A,599
19,ITA,22112,c,50-100,B,321
19,ITA,22113,c,100-200,C,393
19,ITA,22114,c,200-500,D,1327
19,ITA,22115,c,500-800,E,1190
19,ITA,22116,d,10_50,A,787
19,ITA,22117,d,50-100,B,778
19,ITA,22118,d,100-200,C,1680
19,ITA,22119,d,200-500,D,1439
19,ITA,22120,d,500-800,E,2302
20,GRE,22201,a,10_50,A,2916
20,GRE,22202,a,50-100,B,4365
20,GRE,22203,a,100-200,C,2536
20,GRE,22204,a,200-500,D,3158
20,GRE,22205,a,500-800,E,3848
22,GRE,22301,a,10_50,A,2467
22,GRE,22302,a,50-100,B,587
22,GRE,22303,a,100-200,C,7143
22,GRE,22304,a,200-500,D,6074
22,GRE,22305,a,500-800,E,8645
22,GRE,22401,a,10_50,A,8645
22,GRE,22402,a,50-100,B,8489
22,GRE,22403,a,100-200,C,15823
22,GRE,22404,a,200-500,D,19774
22,GRE,22405,a,500-800,E,15426
22,GRE,22501,a,10_50,A,4918
22,GRE,22502,a,50-100,B,4090
22,GRE,22503,a,100-200,C,13269
22,GRE,22504,a,200-500,D,18100
22,GRE,22505,a,500-800,E,22224
25,CYP,32101,a,10_50,A,796
25,CYP,32102,a,50-100,B,717
25,CYP,32103,a,100-200,C,918
25,CYP,32104,a,200-500,D,2245
25,CYP,32105,a,500-800,E,6430
