ITA_TRAWL;0;1;2;3;4;5;6+
2000;0;0;103.07;399.73;20.75;3.7;2.16
2001;0;0;126.86;492;25.54;4.55;2.66
2002;0;0;146.26;567.25;29.44;5.25;3.07
2003;0;0;200.69;778.35;40.4;7.2;4.21
2004;0;0;151.18;586.31;30.43;5.42;3.17
2005;0;0;199.55;773.92;40.17;7.16;4.19
2006;0;0;134;518;27;5;3
2007;0;0;155;601;31;6;3
2008;0;0;96;373;19;3;2
2009;0;0;244;948;49;9;5
2010;0;0;140;544;28;5;3
2011;0;0;173;671;35;6;4
2012;0;0;116;449;23;4;2
